University,Country,WorldRank,Latitude,Longitude,Type
University of Strasbourg,France,101,48.5791,7.7665,Top 500
Aix Marseille University,France,101,43.526302,5.445429,Top 500
University Paris Diderot - Paris 7,France,101,48.8276,2.3822,Top 500
University of Frankfurt,Germany,101,50.1271,8.6678,Top 500
University of Freiburg,Germany,101,47.9935,7.8459,Top 500
University of Bonn,Germany,101,50.7268,7.0865,Top 500
The University of Hong Kong,"Hong Kong, China",101,22.283,114.1371,Top 500
Weizmann Institute of Science,Israel,101,31.9038,34.808,Top 500
Tohoku University,Japan,101,38.25,140.87,Top 500
Osaka University,Japan,101,34.82,135.52,Top 500
Seoul National University,"Korea, Republic of",101,37.46,126.95,Top 500
University of Wageningen,Netherlands,101,51.98,5.67,Top 500
University of Amsterdam,Netherlands,101,52.36,4.96,Top 500
Radboud University Nijmegen,Netherlands,101,51.82,5.86,Top 500
VU University Amsterdam,Netherlands,101,52.33,4.87,Top 500
Norwegian University of Science and Technology - NTNU,Norway,101,63.42,10.4,Top 500
King Saud University,Saudi Arabia,101,24.72,46.63,Top 500
King Abdulaziz University,Saudi Arabia,101,21.49,39.24,Top 500
University of Gothenburg,Sweden,101,57.7,11.97,Top 500
Lund University,Sweden,101,55.71,13.2,Top 500
University of Bern,Switzerland,101,46.95,7.44,Top 500
University of Lausanne,Switzerland,101,46.52,6.58,Top 500
Sun Yat-sen University,"Taiwan, China",101,23.1,113.3,Top 500
University of Warwick,United Kingdom,101,52.38,-1.56,Top 500
University of Southampton,United Kingdom,101,50.94,-1.4,Top 500
University of Leeds,United Kingdom,101,53.81,-1.56,Top 500
University of Liverpool,United Kingdom,101,53.4,-2.97,Top 500
University of Nottingham,United Kingdom,101,52.94,-1.19,Top 500
Cardiff University,United Kingdom,101,51.49,-3.18,Top 500
University of Birmingham,United Kingdom,101,52.45,-1.93,Top 500
The University of Sheffield,United Kingdom,101,53.38,-1.49,Top 500
Arizona State University,United States,101,33.42,-111.93,Top 500
Baylor College of Medicine,United States,101,29.71,-95.4,Top 500
Brown University,United States,101,41.83,-71.4,Top 500
Case Western Reserve University,United States,101,41.5,-81.61,Top 500
Emory University,United States,101,33.8,-84.32,Top 500
Icahn School of Medicine at Mount Sinai,United States,101,40.79,-73.95,Top 500
Indiana University Bloomington,United States,101,39.18,-86.51,Top 500
Michigan State University,United States,101,42.7,-84.48,Top 500
"Rutgers, The State University of New Jersey - New Brunswick",United States,101,40.5,-74.45,Top 500
University of Arizona,United States,101,32.23,-110.95,Top 500
"University of California, Santa Cruz",United States,101,36.99,-122.06,Top 500
University of Utah,United States,101,40.76,-111.84,Top 500
The University of Texas M. D. Anderson Cancer Center,United States,100,29.71,-95.4,Top 500
University of Goettingen,Germany,99,51.5408,9.9374,Top 100
Nanyang Technological University,Singapore,96,1.35,103.68,Top 100
University of Basel,Switzerland,96,47.56,7.58,Top 100
"University of California, Davis",United States,96,38.54,-121.76,Top 100
The Hebrew University of Jerusalem,Israel,95,31.7946,35.2414,Top 100
The Ohio State University - Columbus,United States,94,40.01,-83.03,Top 100
The University of Western Australia,Australia,93,-31.98,115.82,Top 100
Monash University,Australia,91,-37.88,145.05,Top 100
Carnegie Mellon University,United States,91,40.44,-79.94,Top 100
"University of Pittsburgh, Pittsburgh Campus",United States,90,40.44,-79.96,Top 100
KU Leuven,Belgium,86,50.88,4.7,Top 100
McMaster University,Canada,86,43.26,-79.92,Top 100
Moscow State University,Russian Federation,86,55.7,37.5287,Top 100
University of Florida,United States,86,29.64,-82.35,Top 100
National University of Singapore,Singapore,85,1.3,103.78,Top 100
Nagoya University,Japan,83,35.15,136.97,Top 100
"University of California, Irvine",United States,83,33.64,-117.84,Top 100
Swiss Federal Institute of Technology Lausanne,Switzerland,81,46.52,6.57,Top 100
Mayo Medical School,United States,81,44.02,-92.47,Top 100
Erasmus University Rotterdam,Netherlands,79,51.92,4.53,Top 100
Georgia Institute of Technology,United States,79,33.78,-84.4,Top 100
Technion-Israel Institute of Technology,Israel,77,32.7768,35.0231,Top 100
Stockholm University,Sweden,77,59.36,18.06,Top 100
Leiden University,Netherlands,74,52.16,4.49,Top 100
University of Bristol,United Kingdom,74,51.46,-2.6,Top 100
Pennsylvania State University - University Park,United States,74,40.8,-77.86,Top 100
McGill University,Canada,70,45.5,-73.58,Top 100
Boston University,United States,70,42.35,-71.11,Top 100
Purdue University - West Lafayette,United States,70,40.42,-86.92,Top 100
Rice University,United States,70,29.72,-95.4,Top 100
The Australian National University,Australia,69,-35.28,149.12,Top 100
University of Sydney,Australia,68,-33.89,151.19,Top 100
Zhejiang University,China,67,30.27,120.12,Top 100
University of Groningen,Netherlands,66,53.22,6.56,Top 100
Aarhus University,Denmark,65,56.1681,10.203,Top 100
Ecole Normale Superieure - Paris,France,64,48.8422,2.3452,Top 100
Uppsala University,Sweden,63,59.85,17.63,Top 100
University of Oslo,Norway,62,59.94,10.72,Top 100
Ghent University,Belgium,61,51.02,3.73,Top 100
University of Southern California,United States,60,34.02,-118.29,Top 100
University of Geneva,Switzerland,59,46.2,6.15,Top 100
Peking University,China,57,39.99,116.31,Top 100
University of Helsinki,Finland,57,60.1726,24.951,Top 100
King's College London,United Kingdom,56,51.51,-0.12,Top 100
The University of Queensland,Australia,55,-27.5,153.01,Top 100
University of Zurich,Switzerland,54,47.37,8.55,Top 100
University of Munich,Germany,53,48.1505,11.5802,Top 100
Utrecht University,Netherlands,51,52.09,5.18,Top 100
"University of Maryland, College Park",United States,51,38.99,-76.94,Top 100
Vanderbilt University,United States,50,36.14,-86.8,Top 100
Technical University Munich,Germany,48,48.1497,11.5679,Top 100
The University of Texas Southwestern Medical Center at Dallas,United States,48,32.81,-96.84,Top 100
Heidelberg University,Germany,47,49.3988,8.6724,Top 100
"University of California, Santa Barbara",United States,46,34.41,-119.85,Top 100
Tsinghua University,China,45,24.8,121,Top 100
Karolinska Institute,Sweden,44,59.35,18.02,Top 100
University of British Columbia,Canada,43,49.26,-123.25,Top 100
University of Paris-Sud (Paris 11),France,42,48.7035,2.1815,Top 100
University of Illinois at Urbana-Champaign,United States,41,40.1,-88.23,Top 100
The University of Texas at Austin,United States,40,30.28,-97.73,Top 100
The University of Melbourne,Australia,38,-37.8,144.96,Top 100
University of Colorado at Boulder,United States,38,40.01,-105.27,Top 100
"University of Minnesota, Twin Cities",United States,37,44.97,-93.23,Top 100
Sorbonne University,France,36,48.8506,2.3403,Top 100
