University,WorldRank,Year,Country
University of Paris Sud (Paris 11),42,2014,France
Karolinska Institute,42,2012,Sweden
Pennsylvania State University - University Park,42,2008,United States
Pennsylvania State University - University Park,42,2006,United States
Vanderbilt University,42,2008,United States
Karolinska Institute,42,2010,Sweden
University of Paris-Sud (Paris 11),42,2018,France
Pennsylvania State University - University Park,43,2007,United States
The University of Texas Southwestern Medical Center at Dallas,43,2016,United States
Pennsylvania State University - University Park,43,2010,United States
"University of California, Davis",43,2007,United States
University of Copenhagen,43,2009,Denmark
University of North Carolina at Chapel Hill,43,2013,United States
University of Pittsburgh,43,2005,United States
University of British Columbia,43,2018,Canada
"University of Maryland, College Park",43,2015,United States
"University of Maryland, College Park",43,2014,United States
University of Copenhagen,43,2011,Denmark
University of Colorado at Boulder,43,2017,United States
"Rutgers, The State University of New Jersey - New Brunswick",43,2005,United States
University of Paris Sud (Paris 11),43,2009,France
The University of Texas at Austin,44,2016,United States
Karolinska Institute,44,2013,Sweden
Karolinska Institute,44,2016,Sweden
Karolinska Institute,44,2018,Sweden
The University of Melbourne,44,2015,Australia
University of Copenhagen,44,2012,Denmark
Karolinska Institute,44,2017,Sweden
"University of California, Irvine",44,2006,United States
The University of Manchester,44,2010,United Kingdom
The University of Texas Southwestern Medical Center at Dallas,44,2015,United States
The University of Melbourne,44,2014,Australia
Karolinska Institute,44,2011,Sweden
"University of California, Santa Barbara",45,2017,United States
The University of Texas Southwestern Medical Center at Dallas,45,2014,United States
Karolinska Institute,45,2005,Sweden
University of Paris Sud (Paris 11),45,2010,France
The University of Edinburgh,45,2014,United Kingdom
"University of California, Irvine",45,2012,United States
Pierre and Marie Curie University - Paris 6,45,2006,France
Pennsylvania State University - University Park,45,2009,United States
Pennsylvania State University - University Park,45,2011,United States
University of Copenhagen,45,2008,Denmark
Tsinghua University,45,2018,China
"University of California, Irvine",45,2007,United States
"University of California, Irvine",45,2013,United States
"University of California, Irvine",46,2008,United States
"University of California, Irvine",46,2009,United States
University of Copenhagen,46,2007,Denmark
University of Southern California,46,2012,United States
"University of California, Davis",46,2010,United States
University of Southern California,46,2010,United States
Pierre and Marie Curie University - Paris 6,46,2005,France
"University of California, Irvine",46,2010,United States
University of Paris-Sud (Paris 11),46,2016,France
Heidelberg University,46,2015,Germany
University of Southern California,46,2009,United States
"Rutgers, The State University of New Jersey - New Brunswick",46,2006,United States
The University of Texas Southwestern Medical Center at Dallas,46,2013,United States
"University of California, Santa Barbara",46,2018,United States
University of Southern California,46,2011,United States
King's College London,46,2017,United Kingdom
Utrecht University,47,2008,Netherlands
The University of Edinburgh,47,2015,United Kingdom
Karolinska Institute,47,2014,Sweden
The University of Edinburgh,47,2005,United Kingdom
Heidelberg University,47,2016,Germany
"University of California, Irvine",47,2005,United States
"University of Maryland, College Park",47,2005,United States
Technical University Munich,47,2016,Germany
"University of California, Davis",47,2013,United States
Heidelberg University,47,2018,Germany
Technical University Munich,47,2011,Germany
University of Southern California,47,2013,United States
"University of California, Davis",47,2012,United States
Utrecht University,47,2017,Netherlands
University of Southern California,47,2006,United States
"Rutgers, The State University of New Jersey",47,2007,United States
"University of California, Irvine",47,2014,United States
Technical University Munich,48,2018,Germany
"University of California, Irvine",48,2011,United States
The University of Manchester,48,2007,United Kingdom
The University of Texas Southwestern Medical Center at Dallas,48,2017,United States
University of Pittsburgh,48,2006,United States
Tsinghua University,48,2017,China
Utrecht University,48,2011,Netherlands
The University of Texas Southwestern Medical Center at Dallas,48,2009,United States
"University of California, Davis",48,2008,United States
"University of California, Davis",48,2011,United States
The University of Texas Southwestern Medical Center at Dallas,48,2012,United States
Karolinska Institute,48,2006,Sweden
Karolinska Institute,48,2015,Sweden
The University of Texas Southwestern Medical Center at Dallas,48,2018,United States
University of Southern California,49,2016,United States
Pennsylvania State University - University Park,49,2012,United States
University of Paris Sud (Paris 11),49,2008,France
The University of Texas Southwestern Medical Center at Dallas,49,2010,United States
Vanderbilt University,49,2013,United States
University of Southern California,49,2015,United States
Heidelberg University,49,2014,Germany
"University of California, Davis",49,2009,United States
University of Munich,49,2014,Germany
University of Pittsburgh,49,2007,United States
University of Southern California,50,2008,United States
Karolinska Institute,50,2009,Sweden
Utrecht University,50,2010,Netherlands
Vanderbilt University,50,2012,United States
University of Southern California,50,2007,United States
"University of California, Irvine",50,2015,United States
Technical University Munich,50,2017,Germany
University of Southern California,50,2005,United States
The University of Manchester,50,2006,United Kingdom
Technical University Munich,50,2013,Germany
King's College London,50,2016,United Kingdom
University of Pittsburgh,50,2009,United States
Vanderbilt University,50,2018,United States
The University of Edinburgh,51,2013,United Kingdom
University of Zurich,51,2010,Switzerland
University of Munich,51,2006,Germany
Karolinska Institute,51,2008,Sweden
University of Munich,51,2016,Germany
The University of Texas Southwestern Medical Center at Dallas,51,2011,United States
Utrecht University,51,2018,Netherlands
University of Munich,51,2005,Germany
The University of Edinburgh,51,2012,United Kingdom
University of Florida,51,2007,United States
Carnegie Mellon University,51,2012,United States
Technical University Munich,51,2015,Germany
University of Southern California,51,2014,United States
The University of Texas at Austin,51,2017,United States
"University of Maryland, College Park",51,2018,United States
"Rutgers, The State University of New Jersey - New Brunswick",52,2014,United States
Technical University Munich,52,2005,Germany
Carnegie Mellon University,52,2013,United States
Vanderbilt University,52,2011,United States
University of Pittsburgh,52,2008,United States
University of Paris Sud (Paris 11),52,2007,France
University of Munich,52,2015,Germany
Utrecht University,52,2013,Netherlands
"University of Maryland, College Park",52,2016,United States
The University of Edinburgh,52,2006,United Kingdom
University of Munich,52,2010,Germany
Utrecht University,52,2009,Netherlands
Vanderbilt University,52,2017,United States
The University of Manchester,53,2005,United Kingdom
Karolinska Institute,53,2007,Sweden
The University of Edinburgh,53,2007,United Kingdom
University of Geneva,53,2016,Switzerland
University of Munich,53,2018,Germany
"University of Maryland, College Park",53,2017,United States
Technical University Munich,53,2014,Germany
The University of Edinburgh,53,2011,United Kingdom
The University of Edinburgh,53,2009,United Kingdom
Technical University Munich,53,2012,Germany
University of Florida,53,2006,United States
University of Zurich,53,2008,Switzerland
