University,WorldRank,Country,Latitude,Longitude
University of Alabama at Birmingham,201,United States,33.2140,-87.5391
University of Arizona,101,United States,32.2319,-110.9501
"University of California, Berkeley",5,United States,37.8719,-122.2585
"University of California, Davis",96,United States,38.5382,-121.7617
"University of California, Irvine",83,United States,33.6405,-117.8443
"University of California, Los Angeles",11,United States,34.0689,-118.4452
"University of California, Riverside",151,United States,33.9737,-117.3281
"University of California, San Diego",15,United States,32.8801,-117.2340
"University of California, San Francisco",21,United States,37.8719,-122.2585
"University of California, Santa Barbara",46,United States,34.4140,-119.8489
"University of California, Santa Cruz",101,United States,36.9881,-122.0582
University of Central Florida,301,United States,28.6024,-81.2001
University of Chicago,10,United States,41.7886,-87.5987
University of Cincinnati,301,United States,39.1329,-84.5150
University of Colorado at Boulder,38,United States,40.0076,-105.2659
University of Colorado at Denver,201,United States,39.7431,-104.9926
University of Connecticut,301,United States,41.8077,-72.2540
University of Delaware,201,United States,39.6780,-75.7506
University of Florida,86,United States,29.6436,-82.3549
University of Hawaii at Manoa,201,United States,21.2969,-157.8171
University of Houston,201,United States,29.7199,-95.3422
University of Illinois at Chicago,201,United States,41.8696,-87.6496
University of Illinois at Urbana-Champaign,41,United States,40.1020,-88.2272
University of Iowa,151,United States,41.6627,-91.5550
University of Kansas,201,United States,38.9543,-95.2558
University of Kentucky,301,United States,38.0307,-84.5040
University of Maine,401,United States,44.9019,-68.6688
"University of Maryland, Baltimore",201,United States,39.2892,-76.6261
"University of Maryland, College Park",51,United States,38.9869,-76.9426
University of Massachusetts Amherst,151,United States,42.3868,-72.5301
University of Massachusetts Medical School - Worcester,151,United States,42.2786,-71.7633
University of Miami,201,United States,25.7179,-80.2746
University of Michigan-Ann Arbor,27,United States,42.2780,-83.7382
"University of Minnesota, Twin Cities",37,United States,44.9740,-93.2277
University of Missouri - Columbia,201,United States,38.9404,-92.3277
University of Montana - Missoula,401,United States,46.8601,-113.9852
University of Nebraska - Lincoln,201,United States,40.8202,-96.7005
University of New Hampshire - Durham,401,United States,43.1389,-70.9370
University of North Carolina at Chapel Hill,30,United States,35.9049,-79.0469
University of North Texas,301,United States,33.2075,-97.1526
University of Notre Dame,201,United States,41.6991,-86.2388
University of Oklahoma - Norman,401,United States,35.2059,-97.4457
University of Oregon,301,United States,44.0448,-123.0726
University of Pennsylvania,16,United States,39.9522,-75.1932
"University of Pittsburgh, Pittsburgh Campus",90,United States,40.4444,-79.9608
University of Rochester,151,United States,43.1306,-77.6260
University of South Carolina - Columbia,301,United States,33.9938,-81.0299
University of South Florida,201,United States,28.0587,-82.4139
University of Southern California,60,United States,34.0224,-118.2851
University of Tennessee - Knoxville,201,United States,35.9544,-83.9295
University of Utah,101,United States,40.7649,-111.8421
University of Vermont,301,United States,44.4779,-73.1965
University of Virginia,151,United States,38.0336,-78.5080
University of Washington,14,United States,47.2357,-122.5504
University of Wisconsin - Madison,28,United States,43.0766,-89.4125
University of Wisconsin-Milwaukee,401,United States,43.0783,-87.8820
University of Wyoming,401,United States,41.3149,-105.5666
Utah State University,401,United States,41.7452,-111.8097
Vanderbilt University,50,United States,36.1447,-86.8027
Virginia Commonwealth University,201,United States,37.5483,-77.4527
Virginia Polytechnic Institute and State University,201,United States,37.2284,-80.4234
Washington State University,301,United States,46.7319,-117.1542
Washington University in St. Louis,20,United States,38.6488,-90.3108
Wayne State University,401,United States,42.3591,-83.0665
West Virginia University,401,United States,39.6480,-79.9697
Yale University,12,United States,41.3163,-72.9223
Yeshiva University,301,United States,40.8505,-73.9290
